bookid,title,author,author_lf,additional_authors,isbn,my_rating,avg_rating,publisher,page_count,pub_year,orig_pub_year,date_read,date_added,bookshelves,exclusive_shelf
24100285,Space Opera,Catherynne M. Valente,"Valente, Catherynne M.",,1472115074,0,4.02,Corsair,352,2018,2018,,2018-04-15,"to-read, scifi",to-read
36951967,Mechanistic and Nonmechanistic Science: An Investigation Into the Nature of Consciousness and Form,Richard L Thompson,"Thompson, Richard L",,099818716X,0,0,Institute for Vaishnava Studies,,1981,,,2018-04-06,to-read,to-read
23848017,The Brothers Vonnegut: Science and Fiction in the House of Magic,Ginger Strand,"Strand, Ginger",,374117012,0,3.89,"Farrar, Straus and Giroux",320,2015,2015,,2018-04-06,to-read,to-read
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,1476746583,0,4.32,Scribner,531,2014,2014,,2018-04-06,to-read,to-read
32968562,The Dying Game,Åsa Avdic,"Avdic, Åsa",Rachel Willson-Broyles,143131796,0,3.27,Penguin Books,288,2017,2016,,2018-04-06,to-read,to-read
22237161,The Sellout,Paul Beatty,"Beatty, Paul",,374260508,0,3.78,"Farrar, Straus and Giroux",304,2015,2015,,2018-04-06,to-read,to-read
9698419,The Great Frustration,Seth Fried,"Fried, Seth",,1593764162,0,3.96,Soft Skull Press,192,2011,2011,,2018-04-06,to-read,to-read
27071393,I Hate the Internet,Jarett Kobek,"Kobek, Jarett",,996421807,0,3.69,We Heard You Like Books,288,2016,2016,,2018-04-06,to-read,to-read
25986929,"Goodnight Punpun Omnibus (2-in-1 Edition), Vol. 1 (Goodnight Punpun Omnibus, #1)",Inio Asano,"Asano, Inio",,1421586207,0,4.21,VIZ Media LLC,448,2016,2016,,2018-04-06,"to-read, comix",to-read
551475,On the Origin of Objects,Brian Cantwell Smith,"Smith, Brian Cantwell",,262692090,0,4.24,Bradford Book,432,1998,1996,,2018-04-04,to-read,to-read
35721138,The Neuroscientist Who Lost Her Mind: My Tale of Madness and Recovery,Barbara K. Lipska,"Lipska, Barbara K.",Elaine McArdle,1328787303,0,4,Houghton Mifflin Harcourt,208,2018,2018,,2018-03-31,"to-read, cognitive-science",to-read
36187158,"Gods, Monsters, and the Lucky Peach",Kelly Robson,"Robson, Kelly",,,0,3.82,Tor.com,176,2018,2018,,2018-03-24,"to-read, scifi",to-read
1920261,In The Age Of The Smart Machine: The Future Of Work And Power,Shoshana Zuboff,"Zuboff, Shoshana",,465032117,0,3.8,Basic Books,490,1989,1988,,2018-03-22,to-read,to-read
6346975,Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,"Foer, Joshua",,159420229X,0,3.86,"Penguin Press HC, The",307,2011,2011,,2018-03-19,to-read,to-read
8855321,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,1841499889,4,4.21,Orbit,561,2011,2011,2018-03-16,2013-12-09,"scifi, audio-book, library",read
7895178,Mind in the Making: The Seven Essential Life Skills Every Child Needs,Ellen Galinsky,"Galinsky, Ellen",,006173232X,0,3.85,William Morrow Paperbacks,382,2010,2010,,2018-03-07,"currently-reading, cognitive-science, parenting, library",currently-reading
25666050,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,"Christian, Brian",Tom  Griffiths,1627790365,0,4.16,Henry Holt and Co.,368,2016,2016,,2016-05-14,"computer-science, cognitive-science, to-read",to-read
111185,Physics and Philosophy: The Revolution in Modern Science,Werner Heisenberg,"Heisenberg, Werner",Paul Davies,141182156,0,4.02,Penguin Classics,176,2000,1958,,2018-03-07,to-read,to-read
33852053,Gnomon,Nick Harkaway,"Harkaway, Nick",,,5,3.94,William Heinemann,704,2017,2017,2018-03-01,2018-01-14,"scifi, privacy",read
33544902,An Excess Male,Maggie Shen King,"King, Maggie Shen",,62662570,0,3.75,Harper Voyager,416,2017,2017,,2018-02-22,to-read,to-read
1857440,"John Dies at the End (John Dies at the End, #1)",David  Wong,"Wong, David",,978970764,0,3.91,Permuted Press,362,2007,2007,,2018-02-22,to-read,to-read
705418,The Limits to Growth: The 30-Year Update,Donella H. Meadows,"Meadows, Donella H.","Dennis L. Meadows, Jørgen Randers",193149858X,0,4.19,Chelsea Green Publishing Company,338,2004,2004,,2018-02-15,"to-read, environmental-science",to-read
7099898,Eaarth: Making a Life on a Tough New Planet,Bill McKibben,"McKibben, Bill",,805090568,0,3.94,Times Books,253,2010,2010,,2018-02-15,"currently-reading, audio-book, environmental-science, library",currently-reading
29430725,How to Talk so Little Kids Will Listen: A Survival Guide to Life with Children Ages 2-7,Joanna Faber,"Faber, Joanna","Adele Faber, Julie    King",1501131656,0,4.37,Scribner,409,2017,,,2017-06-09,"parenting, to-read",to-read
5571,Cradle to Cradle: Remaking the Way We Make Things,William McDonough,"McDonough, William",Michael Braungart,865475873,4,4.1,North Point Press,193,2002,2002,,2018-02-15,"environmental-science, library",read
